previewOnset,blockOnset,trialStart,ISI,foodPic,foodNum,cond,likingRating,foodOnset,ratingOnset,effortOnset,foodDuration,ratingDuration,effortDuration,respCue,respRating,respEffort,rtCue,rtRating,rtEffort
38.3657280199986,41.4005109649988,22888.443538355,1,IceCream18.jpg,4,CHOOSE,2,44.4185830159986,49.4209985249981,51.9387438679987,5.00241550899955,2.51774534300057,2.51800438200007,NULL,NULL,NULL,NaN,NaN,NaN
38.3657280199986,41.4005109649988,22899.524597345,1,IceCream25.jpg,5,CHOOSE,4,55.4904926279996,60.4932535789994,63.0274558679994,5.0027609509998,2.53420228899995,2.51782380900113,NULL,NULL,NULL,NaN,NaN,NaN
38.3657280199986,41.4005109649988,22910.615199896,1,IceCream14.jpg,6,CHOOSE,1,66.5790902560002,71.5814982330012,74.0993315999985,5.00240797700098,2.51783336699737,2.51788037400183,NULL,NULL,NULL,NaN,NaN,NaN
76.6505954809982,79.6686194290014,22926.710674646,1,Donuts16.jpg,7,CHOOSE,1,82.6867619689983,87.6890339320016,90.2069434799996,5.0022719630033,2.51790954799799,2.51791553300063,NULL,NULL,NULL,NaN,NaN,NaN
76.6505954809982,79.6686194290014,22937.789445527,1,IceCream28.jpg,9,CHOOSE,1,93.7585881570012,98.7610126899999,101.278938560001,5.0024245329987,2.51792587000091,2.51774716699947,NULL,NULL,NULL,NaN,NaN,NaN
76.6505954809982,79.6686194290014,22948.86282671,1,Donuts28.jpg,8,CHOOSE,1,104.830634631999,109.832928033,112.350856871999,5.00229340100122,2.51792883899907,2.51779265100049,NULL,NULL,NULL,NaN,NaN,NaN
114.901916481002,117.920098063001,22964.962190194,1,Cookies10.jpg,10,CHOOSE,3,120.938267145,125.94056947,128.458366302999,5.00230232499962,2.51779683299901,2.51793316600015,NULL,NULL,NULL,NaN,NaN,NaN
114.901916481002,117.920098063001,22976.04282511,1,IceCream06.jpg,12,CHOOSE,1,132.010118816001,137.012486290001,139.530341543999,5.00236747400049,2.51785525399828,2.51788777700131,NULL,NULL,NULL,NaN,NaN,NaN
114.901916481002,117.920098063001,22987.122269801,1,Donuts20.jpg,11,CHOOSE,2,143.098618311,148.101108629999,150.618862726998,5.00249031899875,2.51775409699985,2.51790278000044,NULL,NULL,NULL,NaN,NaN,NaN
153.186739493998,156.204910647,23003.249754395,1,IceCream12.jpg,15,REGULATE,1,159.223072475001,164.225386704999,166.743318567002,5.00231422999786,2.51793186200302,2.51779452599658,NULL,NULL,NULL,NaN,NaN,NaN
153.186739493998,156.204910647,23014.328388372,1,Cookies11.jpg,13,REGULATE,4,170.294834173001,175.297236397,177.815163019,5.00240222399952,2.51792662200023,2.51777900500019,NULL,NULL,NULL,NaN,NaN,NaN
153.186739493998,156.204910647,23025.397061791,1,IceCream02.jpg,14,REGULATE,4,181.36689469,186.369172993,188.887116628001,5.00227830299991,2.51794363500085,2.51789148399985,NULL,NULL,NULL,NaN,NaN,NaN
191.454931431999,194.473000631999,23041.515163285,1,IceCream22.jpg,17,CHOOSE,4,197.491092781001,202.493574534001,205.011297628,5.0024817529993,2.51772309399894,2.51795365699945,NULL,NULL,NULL,NaN,NaN,NaN
191.454931431999,194.473000631999,23052.599531813,1,Cookies22.jpg,18,CHOOSE,1,208.562985221,213.565480496,216.083239183001,5.00249527499909,2.51775868700133,2.51786408100088,NULL,NULL,NULL,NaN,NaN,NaN
191.454931431999,194.473000631999,23063.667200449,1,Donuts02.jpg,16,CHOOSE,3,219.634906731,224.637397669001,227.155290981998,5.00249093800085,2.51789331299733,2.51776194400009,NULL,NULL,NULL,NaN,NaN,NaN
229.706470280998,232.724568441001,23079.767571588,1,IceCream15.jpg,19,REGULATE,2,235.742654105001,240.745008614998,243.262776166001,5.00235450999753,2.51776755100218,2.51799847800066,NULL,NULL,NULL,NaN,NaN,NaN
229.706470280998,232.724568441001,23090.846184562,1,IceCream29.jpg,20,REGULATE,3,246.814495809998,251.816908938999,254.334726297999,5.00241312900107,2.51781735899931,2.51784150200183,NULL,NULL,NULL,NaN,NaN,NaN
229.706470280998,232.724568441001,23101.919997305,1,IceCream17.jpg,21,REGULATE,1,257.886370147,262.888822573001,265.406683560999,5.00245242600067,2.51786098799857,2.51788024000052,NULL,NULL,NULL,NaN,NaN,NaN
267.957800036002,270.975992958,23118.017908465,1,IceCream07.jpg,23,CHOOSE,4,273.994089020001,278.996426934998,281.514317157998,5.00233791499704,2.51789022299999,2.51786678800272,NULL,NULL,NULL,NaN,NaN,NaN
267.957800036002,270.975992958,23129.100836465,1,Donuts25.jpg,24,CHOOSE,1,285.065929993001,290.068333933999,292.586284664001,5.00240394099819,2.51795073000176,2.51776869699825,NULL,NULL,NULL,NaN,NaN,NaN
267.957800036002,270.975992958,23140.169550945,1,IceCream03.jpg,22,CHOOSE,4,296.137860350998,301.140327268,303.658223978,5.00246691700158,2.51789671000006,2.51772352699845,NULL,NULL,NULL,NaN,NaN,NaN
306.20942761,309.227399783002,23156.269416868,1,Cookies02.jpg,27,CHOOSE,1,312.245556948001,317.264619063,319.782508911001,5.01906211499954,2.51788984800078,2.51776613399852,NULL,NULL,NULL,NaN,NaN,NaN
306.20942761,309.227399783002,23167.367846988,1,Donuts30.jpg,26,CHOOSE,4,323.334203471,328.336450456998,330.854318507001,5.00224698599777,2.51786805000302,2.51792577499873,NULL,NULL,NULL,NaN,NaN,NaN
306.20942761,309.227399783002,23178.438811177,1,Cookies05.jpg,25,CHOOSE,4,334.406065487001,339.425049060999,341.943024928001,5.01898357399841,2.51797586700195,2.51773639699968,NULL,NULL,NULL,NaN,NaN,NaN
344.510882883998,347.528956087001,23194.571911178,1,Cookies20.jpg,29,LOOK,2,350.547087032999,355.549404910998,358.067325839998,5.0023178779993,2.51792092899996,2.5178571960023,NULL,NULL,NULL,NaN,NaN,NaN
344.510882883998,347.528956087001,23205.652668204,1,Donuts14.jpg,30,LOOK,1,361.619000424998,366.621234195001,369.139197525001,5.00223377000293,2.51796332999947,2.5179266419982,NULL,NULL,NULL,NaN,NaN,NaN
344.510882883998,347.528956087001,23216.724167558,1,Donuts06.jpg,28,LOOK,3,372.690795443999,377.693217880998,380.211135324,5.00242243699904,2.51791744300135,2.51777210300133,NULL,NULL,NULL,NaN,NaN,NaN
