previewOnset,blockOnset,cue,trialStart,ISI,foodPic,foodNum,cond,likingRating,foodOnset,ratingOnset,effortOnset,foodDuration,ratingDuration,effortDuration,respCue,respRating,respEffort,rtCue,rtRating,rtEffort
0.0655701809992024,3.11692615900029,REGULATE,19023.332440026,1,Cookies13.jpg,2,REGULATE,4,17.2069440099986,22.2094130209989,24.7272683750016,5.00246901100036,2.51785535400268,2.51782736399764,2,2,2,1.27359767799862,1.0972977220008,1.36117748499964
0.0655701809992024,3.11692615900029,REGULATE,19034.399960787,1,IceCream17.jpg,3,REGULATE,1,28.2788389419984,33.2813271829982,35.7991640580003,5.00248824099981,2.5178368750021,2.5178758180009,2,3,3,1.27359767799862,2.14483290700082,0.547787971998332
38.3504323909983,41.3851512350011,CHOOSE,19050.523976266,1,Cookies15.jpg,6,CHOOSE,1,44.4032251770004,49.4060258040008,51.9233877730003,5.0028006270004,2.51736196899947,2.51793889699911,NULL,1,1,NaN,1.38092369700098,0.576612778997514
38.3504323909983,41.3851512350011,CHOOSE,19061.599995853,1,Donuts20.jpg,4,CHOOSE,2,55.475063504,60.477579118,62.9954256689998,5.002515614,2.51784655099982,2.51782730999912,NULL,2,2,NaN,1.09600687900092,1.03930027500246
38.3504323909983,41.3851512350011,CHOOSE,19072.669659699,1,Donuts28.jpg,5,CHOOSE,1,66.5471409019992,71.5494991820015,74.0673164360014,5.00235828000223,2.51781725399997,2.51784241600035,NULL,3,NULL,NaN,1.73335780799971,NaN
76.6184683489992,79.6365451759993,CHOOSE,19088.774423325,1,Cookies27.jpg,9,CHOOSE,1,82.6546917140004,87.6571311970001,90.1749267769992,5.00243948299976,2.51779557999907,2.51785849400039,2,1,NULL,0.942946563001897,0.857796273998247,NaN
76.6184683489992,79.6365451759993,CHOOSE,19099.848729439,1,Donuts12.jpg,8,CHOOSE,4,93.726537554001,98.7289431690006,101.246900632999,5.00240561499959,2.51795746399875,2.51775384299981,2,2,2,0.942946563001897,1.0413941020015,1.04462391199922
76.6184683489992,79.6365451759993,CHOOSE,19110.920244197,1,Donuts15.jpg,7,CHOOSE,4,104.798480368001,109.800896302,112.318792365,5.00241593399915,2.51789606300008,2.51782661000107,2,3,3,0.942946563001897,0.930822753998655,1.78756955599965
114.869963460998,117.888090164,CHOOSE,19127.025931924,1,Cookies04.jpg,11,CHOOSE,4,120.906190598002,125.909191949999,128.426394640999,5.00300135199723,2.51720269100042,2.51785127800031,2,2,NULL,1.35523800600276,0.669628545998421,NaN
114.869963460998,117.888090164,CHOOSE,19138.099087476,1,IceCream02.jpg,10,CHOOSE,4,131.97814146,136.980474216001,139.498238926,5.00233275600112,2.51776470999903,2.51796204899802,2,2,3,1.35523800600276,0.623243606998585,2.32088912199833
114.869963460998,117.888090164,CHOOSE,19149.172260797,1,Cookies18.jpg,12,CHOOSE,1,143.049912310002,148.052909577,150.57025832,5.00299726699814,2.51734874300018,2.51778618300159,2,4,NULL,1.35523800600276,0.711278013997799,NaN
153.121499899,156.139457022,LOOK,19165.278579357,1,Donuts10.jpg,13,LOOK,4,159.157571509,164.159943885999,166.677898524998,5.00237237699912,2.51795463899907,2.51785729500261,1,2,NULL,1.32828932700068,0.835278960999858,NaN
153.121499899,156.139457022,LOOK,19176.351885867,1,Cookies22.jpg,15,LOOK,1,170.229549621999,175.231908344002,177.749840814002,5.0023587220021,2.51793247000023,2.51786395699673,1,3,NULL,1.32828932700068,1.13969913200344,NaN
